PlotID	SampleID	TubeID	BarcodeID	PrimerPairID	Vol	Conc	Quantity	ProjectID	Investigator	PlatePosition	SpeciesID	HarvestYear
3L	R5bz	D5	Alpha36	LSU	15	32.68	NA	Zanne-LSU/Zanne-LSU	Zanne	D5	PLOC	3
3L	R5bz	D5	Alpha36	16S	15	40.73	NA	Zanne-16S/Zanne-16S	Zanne	D5	PLOC	3
3L	S5tz	E5	Alpha37	ITS-1_4	15	32.95	NA	Zanne-ITS/Zanne-ITS	Zanne	E5	PRSE/PRVI	3
3L	S5tz	E5	Alpha37	LSU	15	42.97	NA	Zanne-LSU/Zanne-LSU	Zanne	E5	PRSE/PRVI	3
3L	S5tz	E5	Alpha37	16S	15	36.3	NA	Zanne-16S/Zanne-16S	Zanne	E5	PRSE/PRVI	3
3L	S5bz	F5	Alpha38	ITS-1_4	15	21.7	NA	Zanne-ITS/Zanne-ITS	Zanne	F5	PRSE/PRVI	3
3L	S5bz	F5	Alpha38	LSU	15	35.57	NA	Zanne-LSU/Zanne-LSU	Zanne	F5	PRSE/PRVI	3
3L	S5bz	F5	Alpha38	16S	15	35.74	NA	Zanne-16S/Zanne-16S	Zanne	F5	PRSE/PRVI	3
3L	T5tz	G5	Alpha39	ITS-1_4	15	2.05	NA	Zanne-ITS/Zanne-ITS	Zanne	G5	QUAL	1
3L	T5tz	G5	Alpha39	LSU	15	2.2	NA	Zanne-LSU/Zanne-LSU	Zanne	G5	QUAL	1
3L	T5tz	G5	Alpha39	16S	15	2.02	NA	Zanne-16S/Zanne-16S	Zanne	G5	QUAL	1
3L	B5bz	D1	Alpha4	ITS-1_4	15	5.26	NA	Zanne-ITS/Zanne-ITS	Zanne	D1	AEGL	3
3L	B5bz	D1	Alpha4	LSU	15	13.35	NA	Zanne-LSU/Zanne-LSU	Zanne	D1	AEGL	3
3L	B5bz	D1	Alpha4	16S	15	8.73	NA	Zanne-16S/Zanne-16S	Zanne	D1	AEGL	3
3L	T5bz	H5	Alpha40	ITS-1_4	15	1.9	NA	Zanne-ITS/Zanne-ITS	Zanne	H5	QUAL	1
3L	T5bz	H5	Alpha40	LSU	15	2.13	NA	Zanne-LSU/Zanne-LSU	Zanne	H5	QUAL	1
3L	T5bz	H5	Alpha40	16S	15	2.51	NA	Zanne-16S/Zanne-16S	Zanne	H5	QUAL	1
3L	U5tz	A6	Alpha41	ITS-1_4	15	2.31	NA	Zanne-ITS/Zanne-ITS	Zanne	A6	QUVE	3
3L	U5tz	A6	Alpha41	LSU	15	3.31	NA	Zanne-LSU/Zanne-LSU	Zanne	A6	QUVE	3
3L	U5tz	A6	Alpha41	16S	15	2.26	NA	Zanne-16S/Zanne-16S	Zanne	A6	QUVE	3
3L	U5bz	B6	Alpha42	ITS-1_4	15	2.09	NA	Zanne-ITS/Zanne-ITS	Zanne	B6	QUVE	3
3L	U5bz	B6	Alpha42	LSU	15	8.81	NA	Zanne-LSU/Zanne-LSU	Zanne	B6	QUVE	3
3L	U5bz	B6	Alpha42	16S	15	2.39	NA	Zanne-16S/Zanne-16S	Zanne	B6	QUVE	3
3L	V5tz	C6	Alpha43	ITS-1_4	15	15.73	NA	Zanne-ITS/Zanne-ITS	Zanne	C6	QUVE2	1
3L	V5tz	C6	Alpha43	LSU	15	37.48	NA	Zanne-LSU/Zanne-LSU	Zanne	C6	QUVE2	1
3L	V5tz	C6	Alpha43	16S	15	41.33	NA	Zanne-16S/Zanne-16S	Zanne	C6	QUVE2	1
3L	V5bz	D6	Alpha44	ITS-1_4	15	6.12	NA	Zanne-ITS/Zanne-ITS	Zanne	D6	QUVE2	1
3L	V5bz	D6	Alpha44	LSU	15	27.82	NA	Zanne-LSU/Zanne-LSU	Zanne	D6	QUVE2	1
